TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,STARBUCKS COFFEE,"CONCESSION HOK 3A & B, LAR HONG KONG STATION, CENTRAL, HONG KONG",,114.15682000000004,22.285690000000045,71.0,38,1,2,0,0,1,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,Maru Korean Restaurant,"G/F., 48 STAUNTON STREET, CENTRAL, HONG KONG",,114.1519258144088,22.28266434384633,72.0,88,0,0,0,5,0,0,0,0,40.67467532467532,55040,2.1875,0.5657142857142857,0.7667532467532467,0.4057142857142857,0.4909090909090909,0.291,1
RR,PRET A MANGER,"SHOP NO. 2AA-2AB, 1/F, LIPPO CENTRE, 89 QUEENSWAY, CENTRAL, HONG KONG",#H,114.16372447236807,22.27890974070982,73.0,6,4,2,0,2,21,0,1,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,PACIFIC COFFEE,"SHOP 4, ENTRANCE HALL FLOOR, THE CENTRE, 99 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.15472763318326,22.284612968696564,61.0,49,2,0,1,0,4,0,0,0,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,PRET A MANGER,"KIOSK NO.CEN W6, CENTRAL MTR STATION, CENTRAL, HONG KONG",#H,114.15879000000008,22.281570000000045,73.0,18,2,4,0,3,5,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,Dead &,"SHOPS 3 & 4, LG/F., WINSOME HOUSE, 73 WYNDHAM STREET, CENTRAL, HONG KONG",,114.15486668895691,22.28173688625997,71.0,139,0,0,2,1,7,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,OMA,"L/B., HARILELA HOUSE, 79 WYNDHAM STREET, CENTRAL, HONG KONG",,114.15467658739288,22.28192531144336,71.0,133,0,0,2,1,7,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,ILAN,"SHOP A, G/F, 8, 9, 11 & 12 WO ON LANE, WO ON BUILDING, CENTRAL, HONG KONG",,114.15522074054708,22.28161467811168,71.0,176,0,0,2,3,6,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,STARBUCKS COFFEE,"SHOP 201, 2/F, ALEXANDRA HOUSE, 16-20 CHATER ROAD, CENTRAL, HONG KONG",,114.15854366224193,22.2814951521724,73.0,22,2,4,0,0,5,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,PUB52,"G/F & MEZZANINE, 52 D'AGUILAR STREET, CENTRAL, HONG KONG",,114.15521051462514,22.2806394017677,71.0,139,0,0,2,3,3,0,0,3,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,0
RR,Le Moment,"G/F, 55 PEEL STREET, CENTRAL, HONG KONG",,114.15248555790282,22.282619668302416,62.0,128,0,0,0,7,1,0,0,8,50.67512161223071,47630,2.167168674698796,0.6007644197359278,0.6848505906879777,0.4798471160528144,0.4269578313253012,0.281,1
RR,KATONG LAKSA,"G/F., 8 MERCER STREET, CENTRAL, HONG KONG",,114.15183487075932,22.28544043017804,61.0,73,0,1,3,0,0,0,0,9,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,Honey Hot,"G/F, 57 PEEL STREET, CENTRAL, HONG KONG",,114.15248555790282,22.282619668302416,62.0,128,0,0,0,7,1,0,0,8,50.67512161223071,47630,2.167168674698796,0.6007644197359278,0.6848505906879777,0.4798471160528144,0.4269578313253012,0.281,1
RR,枝記,"SHOP M4 WEST, G/F, 1 BABINGTON PATH, SAI YING PUN, WESTERN, HONG KONG",,114.14249960991668,22.28405020771737,112.0,10,0,1,0,2,2,0,0,0,51.07024336283186,66290,2.9697766097240472,0.554424778761062,0.7703539823008849,0.3747787610619469,0.7766097240473062,0.284,1
RR,源興隆,"G/F, 453 QUEEN'S ROAD WEST, SAI YING PUN, WESTERN, HONG KONG",,114.13507860812132,22.286520019307048,68.0,18,0,1,2,2,2,0,1,1,50.53864148327846,29860,2.61131221719457,0.518974181251083,0.920291110726044,0.4371859296482412,0.6895927601809955,0.333,1
RR,華樂,"G/F, 16 TUNG STREET, SHEUNG WAN, WESTERN, HONG KONG",,114.14946756984546,22.285133820159885,58.0,36,0,0,0,8,1,0,0,2,39.70090293453725,41300,2.043357933579336,0.6085778781038375,0.7801354401805869,0.4288939051918736,0.5479704797047971,0.263,1
RR,富興潮州麵家,"G/F, 231 DES VOEUX ROAD WEST, SAI YING PUN, WESTERN, HONG KONG",,114.147902078312,22.287968981354044,53.0,16,0,0,1,3,1,0,0,2,38.67391838741396,40080,2.1918103448275863,0.6047197640117994,0.8446411012782694,0.3726647000983284,0.4935344827586206,0.388,1
RR,榮記,"G/F, 15G BELCHER'S STREET, KENNEDY TOWN, WESTERN, HONG KONG",,114.13084923441222,22.28378753724988,15.0,12,0,0,3,0,0,0,0,0,53.35610932475885,38500,2.448818897637796,0.6077170418006431,0.8938906752411575,0.4237942122186495,0.7070866141732284,0.273,1
RR,炳記,"G/F, 25 SUTHERLAND STREET, SAI YING PUN, WESTERN, HONG KONG",,114.14572922913904,22.28738309856298,50.0,9,0,0,0,7,1,0,1,2,36.27600170502984,53200,2.612472160356347,0.5652173913043478,0.7016197783461211,0.4424552429667519,0.3630289532293986,0.297,1
