TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RL,MERCER REST.,"G/F., 23 HILLIER STREET, CENTRAL, HONG KONG",,114.1515651,22.2854988,61.0,75,0,1,3,2,0,0,0,9,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,CONRAD HONG KONG,"PTN. OF LEVEL 3-5, 5M, 6-8 & 59, CONRAD INTERNATIONAL HONG KONG, 88 QUEENSWAY, CENTRAL, HONG KONG",#F#G#H,114.166341,22.277509,73.0,12,0,0,0,0,0,0,0,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,ISLAND SHANGRI-LA HOTEL,"PTNS. OF LEVEL 5 & LEVEL 6, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#F#G#H,114.1644241,22.2771904,73.0,24,0,0,0,4,10,0,1,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,ISLAND SHANGRI-LA HOTEL,"LEVEL 7 (PTN) & LEVEL 8, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,114.1644241,22.2771904,73.0,24,0,0,0,4,10,0,1,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,ISLAND SHANGRI-LA HOTEL,"PTN. OF 3,5,6 &39, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,114.1644241,22.2771904,73.0,24,0,0,0,4,10,0,1,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,No Record,"PTNS. OF LEVEL 56, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,114.1644241,22.2771904,73.0,24,0,0,0,4,10,0,1,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,Caine Delicious,"LOWER B/M(PTN.), UPPER B/M & G/F(PTN.), 27 CAINE ROAD, CENTRAL, HONG KONG",,114.1538673,22.2802297,73.0,10,1,0,6,1,2,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,MANDARIN ORIENTAL HOTEL,"5 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",#E#F#G#H,114.1594486,22.2818941,73.0,13,1,3,0,12,4,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,TANGO ARGENTINEAN STEAK HOUSE,"1/F., CARFIELD COMMERCIAL BUILDING, 75-77 WYNDHAM STREET, CENTRAL, HONG KONG",,114.1547385,22.2818526,71.0,143,0,0,2,1,7,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,0
RL,TUK TUK THAI,"G/F, 30 GRAHAM STREET, CENTRAL, HONG KONG",,114.1535029,22.2829578,71.0,102,0,0,0,6,1,0,0,12,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,RUTH'S CHRIS STEAK HOUSE,"SHOP 2-3, G/F., LIPPO CENTRE, 89 QUEENSWAY, CENTRAL, HONG KONG",,114.16335,22.279536,73.0,15,3,1,0,0,12,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,生記,"G/F, 18, 20 & 22, HILLIER STREET, CENTRAL, HONG KONG",,114.1517356,22.2856715,61.0,62,0,3,3,1,2,0,0,7,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,福祿壽健康素食,"G/F., 8 TIT HONG LANE, CENTRAL, HONG KONG",,114.1552277,22.2846988,61.0,38,2,0,1,0,4,0,0,0,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,KA HO RESTAURANT,"UG/F, 328 QUEEN'S ROAD CENTRAL, WESTERN, HONG KONG",,114.149989,22.2852239,58.0,41,0,0,1,13,1,0,0,5,39.70090293453725,41300,2.043357933579336,0.6085778781038375,0.7801354401805869,0.4288939051918736,0.5479704797047971,0.263,1
RL,佳記,"G/F, 94 JERVOIS STREET, CENTRAL, HONG KONG",,114.150933,22.2850402,61.0,58,0,0,0,4,1,0,1,6,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,FAIRWOOD FAST FOOD,"2/F., MANNING HOUSE, 48 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.1561479,22.2821268,71.0,79,0,1,2,0,6,0,0,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,CAFE DE CORAL,"G/F.(PTN.) & 1/F., REGENT CENTRE, 88 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.1551291,22.2831406,71.0,109,0,0,0,0,5,0,0,1,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
