TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio
RL,鴻記點心茶樓,"NO.49, PHASE I, G/F., SHAM TSENG VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.0587738687446,22.367501860655608,1061,8,2,0,0,6,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,金坊泰國菜,"SHOP A, G/F, TSUEN FAT BUILDING, TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",[],114.11547233076556,22.372521824376904,990,29,0,0,2,2,0,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,金坊泰國美食,"7-11 TSUEN HING PATH, G/F., TSUEN WAN, NEW TERRITORIES",[],114.11539555253243,22.3723882587498,990,29,0,0,3,2,1,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,MCDONALD'S,"NO. 10-16 MARKET STREET, G/F & M/F,22 CHUEN LUNG STREET ON G/F & WHOLE 1/F OF TWTL 81, TSUEN WAN, NEW TERRITORIES",[],114.11667546914737,22.37172801623668,995,4,4,0,0,3,0,0,0,3,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,彩龍,"NO.2, CHUEN LUNG TSUEN, TSUEN WAN, NEW TERRITORIES",[],114.10856488817768,22.39506646170983,970,1,1,0,0,1,1,0,0,0,38.8083634175692,18730,2.747107438016529,0.42839951865222625,0.9103489771359807,0.4651022864019254,0.5867768595041323,0.325
RL,彩龍,"NO.2, CHUEN LUNG TSUEN, TSUEN WAN, NEW TERRITORIES",[],114.10856488817768,22.39506646170983,970,1,1,0,0,1,1,0,0,0,38.8083634175692,18730,2.747107438016529,0.42839951865222625,0.9103489771359807,0.4651022864019254,0.5867768595041323,0.325
RL,聯發燒臘飯麵家,"17, MARKET STREET, G/F., & NO.14 CHUEN LUNG STREET, G/F., REAR PORTION, TSUEN WAN, NEW TERRITORIES",[],114.11686238558816,22.37203684745917,993,9,4,0,0,3,0,0,1,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,彩龍船中西美食坊,"SHOP NO.6 &12, G/F, ALLWAY GARDENS, ON YUK ROAD, TWTL 236, TSUEN WAN, NEW TERRITORIES",[],114.10379351784457,22.378003755963032,981,0,2,0,0,2,1,0,3,0,51.703193671256955,37790,2.8560669456066945,0.5123058892469968,0.9639613243480809,0.45941986522121303,0.805439330543933,0.277
RL,灣岸餐廳,"FLAT C ON GROUND FLOOR, NO. 333-335 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11868796409976,22.36885998042713,1013,6,0,0,8,0,0,0,2,0,35.807063851181496,17250,2.4616336633663365,0.4072398190045249,0.918552036199095,0.48366013071895425,0.2264851485148515,0.365
RL,端記茶樓,"LOT 353 AND 354 IN D.D. 360, CHUEN LUNG VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.10829792456155,22.39506440814354,970,1,1,0,0,2,1,0,0,0,38.8083634175692,18730,2.747107438016529,0.42839951865222625,0.9103489771359807,0.4651022864019254,0.5867768595041323,0.325
RL,端記茶樓,"LOT 353 AND 354 IN D.D. 360, CHUEN LUNG VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.10829792456155,22.39506440814354,970,1,1,0,0,2,1,0,0,0,38.8083634175692,18730,2.747107438016529,0.42839951865222625,0.9103489771359807,0.4651022864019254,0.5867768595041323,0.325
RL,彬記,"NO. 4, G/F & NO. 6A, G/F & C/L, TAI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11649001953958,22.37094001256439,995,4,2,0,0,5,0,0,1,4,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,新盛粉麵美食,"G/F & C/L, 54 HAU TEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11550988169176,22.37109966686512,995,13,0,0,3,6,1,0,5,11,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,Good Taste Restaurant,"G/F, 65-67 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11632569232783,22.370704963044588,995,3,1,0,0,4,0,0,4,4,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,獅子吧,"G/F, 180-182 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.112435315788,22.371751485565568,997,10,0,0,0,5,1,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,金溪海鮮火鍋,"SHOP NO. 6 & 7, CAR PARK BLOCK 1, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",[],114.1195904436147,22.36843032407036,1000,0,0,0,3,1,0,0,0,0,37.0651853411963,36490,2.789659224441833,0.5429654591406908,0.9123841617523167,0.45956192080876157,0.6169212690951822,0.254
RL,妙法齋,"79 G/F., HO PUI STREET, TSUEN WAN, NEW TERRITORIES",[],114.11654077196334,22.36832701711372,1006,10,5,0,3,4,0,0,0,2,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,誠信茶餐廳,"G/F., NO. 206 YAU MA HOM ROAD, KWAI CHUNG, TSUEN WAN, NEW TERRITORIES",[],114.13358790537316,22.37133584415009,1019,0,0,0,0,1,0,0,0,0,48.563747228381374,21940,2.9381107491856677,0.4672949002217295,0.9866962305986696,0.44401330376940135,0.5684039087947883,0.366
RL,冠華粥麵店,"SHOP NO. 7, G/F, SHEK FONG HOUSE, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",[],114.12404441932404,22.37466377782387,1022,1,0,0,3,7,2,0,1,0,52.59891961698375,17480,2.5394336906095023,0.44179160892024694,0.9652261559783294,0.4459493511402293,0.0,0.105
RL,Wedding Banquet Specialist,"4/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11634329432452,22.37376947066457,1001,8,3,6,0,0,2,0,1,0,38.995377813504824,33230,2.5387755102040814,0.5265273311897106,0.9726688102893891,0.4565916398713826,0.7408163265306122,0.301
RL,MCDONALD'S,"SHOP NO. 1-9, 1A, 2B, 3A, 3B, 9A, 9B &9C, PODIUM A, G/F, WEALTHY GARDEN SHOPPING ARCADE, TEXACO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12110254553826,22.36616023319632,1000,0,0,0,0,1,0,0,0,0,37.0651853411963,36490,2.789659224441833,0.5429654591406908,0.9123841617523167,0.45956192080876157,0.6169212690951822,0.254
RL,全記餐廳,"NO. 54, G/F, SHAM TSENG CHUNG KIN VILLAGE (SHAM TSENG RE-SITE VILLAGE) AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",['A'],114.10723583900004,22.374444478000044,988,3,0,0,0,0,0,0,0,0,36.55153917910448,14630,2.977777777777778,0.4216417910447761,0.9169776119402985,0.5,0.17222222222222222,0.211
RL,陳記海鮮酒家,"G/F, NO. 63 SHAM TSENG VILLAGE AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT AND SHOP SIDE, TSUEN WAN, NEW TERRITORIES",['A'],114.0593405692183,22.367432626135383,1061,7,1,0,0,5,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,Cafe'de Coral,"SHOP NOS. 52-70, UPPER G/F, BLOCK 15-17, TSUEN WAN CENTRE, PHASE II, TSUEN WAN, NEW TERRITORIES",[],114.18686074865371,22.37912722508382,1614,0,0,0,0,0,1,0,1,0,39.18659621802002,39940,2.379565907887771,0.5835372636262514,0.9263626251390433,0.4289210233592881,0.7707781895182636,0.406
RL,新裕記飯店有限公司,"G/F & 1/F, NO. 33-36 SHAM TSENG NEW VILLAGE MAIN STREET, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",[],114.0579454852538,22.370005786591207,1061,0,0,0,0,2,0,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,翠河餐廳,"SHOP A80-A84 & GA38, TSUEN FUNG CENTRE, 144-172 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11858235211974,22.371670432561857,994,14,3,0,0,2,5,0,0,1,52.57441956882255,32330,2.817757009345794,0.5306799336650083,0.961028192371476,0.45107794361525705,0.780373831775701,0.446
RL,Tak Wah Restaurant,"G/F, NO. 10 TAK WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.118150013554,22.369381502442707,1013,1,0,0,5,2,0,0,2,0,35.807063851181496,17250,2.4616336633663365,0.4072398190045249,0.918552036199095,0.48366013071895425,0.2264851485148515,0.365
RL,美景茶餐廳,"SHOP NO. 2 (MAJOR PORTION), 1/F, COMMERCIAL COMPLEX, CLAGUE GARDEN ESTATE, 28 HOI SHING ROAD, TSUEN WAN, NEW TERRITORIES",[],114.10730135798732,22.37240435252833,988,0,0,0,0,1,0,0,0,0,36.55153917910448,14630,2.977777777777778,0.4216417910447761,0.9169776119402985,0.5,0.17222222222222222,0.211
RL,大八方中國料理,"1/F, COMMERCIAL COMPLEX, HONG KONG GARDEN, TSING LUNG TAU, TSUEN WAN, NEW TERRITORIES",[],114.04291153608028,22.36148172633792,1067,0,2,0,0,1,0,0,0,0,50.65551292179212,37080,2.9263540290620873,0.5187902042658842,0.9266448482112628,0.445547906556822,0.774108322324967,0.372
RL,Holly Restaurant,"G/F TO 3/F, NO. 1 CHEONG TAI STREET, LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11579050781012,22.37249936087639,990,18,0,0,1,2,1,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,和食快餐,"SHOP NO.22-24, G/F, CHEONG NING BUILDING, TSUEN CHEONG CENTRE, SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.12033056566509,22.3709512652694,1002,12,0,0,3,4,0,0,2,0,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,德發粥店,"9B, G/F., SZE PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11763259867098,22.369787270375426,1005,11,0,0,0,3,2,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,Cafe' de Coral,"SHOP 201, ON 2/F., NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, 64-98 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11634329432452,22.37376947066457,1001,8,3,6,0,0,2,0,1,0,38.995377813504824,33230,2.5387755102040814,0.5265273311897106,0.9726688102893891,0.4565916398713826,0.7408163265306122,0.301
RL,富都,"G/F, 75 & 77 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11625059047536,22.36919500509705,999,15,4,0,1,3,2,0,0,5,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,Indian Curry Hot Pot Restaurant,"DD 390, LOT 257, SHAM TSENG VILLAGE AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT  AND SHOP SIDE, TSUEN WAN, NEW TERRITORIES",['A'],114.10723583900004,22.374444478000044,988,3,0,0,0,0,0,0,0,0,36.55153917910448,14630,2.977777777777778,0.4216417910447761,0.9169776119402985,0.5,0.17222222222222222,0.211
RL,Tso Kung Tam Outdoor Recreation Centre,"PORTION OF 6/F, TSO KUNG TAM OUTDOOR RECREATION CENTRE, ROUTE TWISK, TSO KUNG TAM, TSUEN WAN, NEW TERRITORIES",[],114.10604579099736,22.38596547506096,979,1,0,0,0,1,0,0,0,1,39.093134524834184,31900,2.6611425491781193,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325
RL,滾得棧,"G/F, AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, NO.84, SHAM TSENG VILLAGE, TSUEN WAN, NEW TERRITORIES",['A'],114.05840104169135,22.36656388378077,1061,5,2,0,0,0,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,海王潮州樓(金富),"SHOP UG1-UG12, UG/F, & SHOP G9A, G/F., WATERSIDE PLAZA, 38 WING SHUN STREET, TSUEN WAN, NEW TERRITORIES",[],114.11430000000009,22.363620000000022,971,4,1,0,0,0,0,0,0,0,36.87210788699987,60020,3.2842149454240133,0.5079892624312924,0.9256039882398057,0.4396011760194299,0.7670025188916877,0.333
RL,Panda Hotel,"3/F (PORTION), 4/F (PORTION) AND 5/F (PORTION), PANDA HOTEL, TWTL 312, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.1206700327437,22.36910355853341,996,19,0,0,0,6,0,0,0,1,50.25028304557034,28140,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444
RL,新香城,"SHOP NO.2, G/F, PHASE I, BELVEDERE GARDEN, 530 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.10258708247102,22.373147281991848,982,2,0,0,4,2,1,0,0,0,49.567049511097316,47070,3.18566131025958,0.5095452428992705,0.9232500388018005,0.45964612758031975,0.872929542645241,0.295
RL,MCDONALD'S,"G/F,  AND COCKLOFT(PORTION), NO.266, 270, & 276, SHA TSUI ROAD AND, 1/F., NO.260-276 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11628260934556,22.369764052503623,999,7,3,0,0,4,2,0,1,10,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,素食新一代,"SHOP 52 &55, 1/F, CHEONG ON BUILDING, TSUEN CHEONG CENTRE, 186-200 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1199242109991,22.371355859735687,1002,12,0,0,0,1,0,0,0,1,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,福利來,"SHOP NO. S70 & S72, UPPER G/F, TSUEN WAN CENTRE, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.1113827163872,22.37748013920033,979,1,1,0,0,8,0,0,0,0,39.093134524834184,31900,2.6611425491781193,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325
RL,KEDAI KOPI SEMUA SEMUA,"G/F., NO. 65 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11184506216637,22.371259677396736,997,10,0,0,0,1,0,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,雲貴川風味,"SHOP 13, SZE PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11754618124922,22.369643269278868,1005,12,1,0,2,2,2,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,唯一麵家,"SHOP 2A, 1/F., FOU WAH CENTRE, 210 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11831631051297,22.372918288397106,1002,1,2,6,0,3,8,0,0,0,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,歌德餐廳,"UNIT 1, 1/F, MUTUAL HOUSE, NO. 26 - 40 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11778196418555,22.371039945804995,1005,20,3,0,0,5,0,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,漢都,"G/F, 162 TSUEN WAN MARKET STREET, TSUEN WAN, NEW TERRITORIES",[],114.12069031694938,22.36962290125416,1004,1,0,0,3,4,0,0,0,1,37.75467914438502,20900,2.5660377358490565,0.48663101604278075,0.911096256684492,0.517379679144385,0.5128644939965694,0.357
RL,No Meat No Life,"G/F, NO. 53 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11184506216637,22.371259677396736,997,10,0,0,0,1,0,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,桂香台式燒味茶餐廳,"G/F, NO. 62 HO PUI STREET, TSUEN WAN, NEW TERRITORIES",[],114.1155798705833,22.36855035292384,999,7,2,0,2,1,1,0,0,5,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,Cafe' de Coral,"1/F, CHEONG YIU MANSION, NOS. 163-174, CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11858235211974,22.371670432561857,994,14,3,0,0,2,5,0,0,1,52.57441956882255,32330,2.817757009345794,0.5306799336650083,0.961028192371476,0.45107794361525705,0.780373831775701,0.446
RL,喜喜雞煲火鍋,"G/F, 87 SHAM TSENG TSUEN, CASTLE PEAK ROAD, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",[],114.05847270696351,22.366759559310395,1061,6,2,0,0,0,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,3E小廚,"SHOP NO. 6, G/F, BLOCK B, JOYFUL BUILDING, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10590053261537,22.376640817325864,977,5,1,0,3,0,0,0,1,0,38.5139751552795,41680,2.5266792215944758,0.5840993788819876,0.9503105590062112,0.4795031055900621,0.7953546767106089,0.324
RL,Pokka Cafe,"NO. 1-6, G/F, KOLOUR TSUEN WAN II, TWTL 301, TSUEN WAN, NEW TERRITORIES",['F'],114.11759387427828,22.37057868967325,1005,20,2,0,0,5,0,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,Ping Kee Restuarant,"G/F, 102 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11668041447024,22.369277063929133,1006,15,2,0,1,4,2,0,0,7,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,新瑞丰,"SHOP 47-48, 1/F., MARKET, PODIUM D, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",[],114.1134657548984,22.36310471386344,1008,12,2,0,1,2,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,金莎堡,"SHOP NO. 121, PODIUM FLOOR, PODIUM A, TOWER 1-4, RIVIERA GARDENS, 1-7 YI HONG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11395847523306,22.36328739782948,1008,9,2,0,1,1,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,MCDONALD'S,"SHOP NO. 6, G/F, TSUEN WAN CENTRE, PHASE II, 94-98 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10734909312208,22.37899256980932,979,0,1,0,3,4,0,0,0,0,39.093134524834184,31900,2.6611425491781193,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325
RL,Maxim's Palace,"SHOP NO. G27, LUK YEUNG GALLERIA, 22-26 WAI TSUEN ROAD, TSUEN WAN, NEW TERRITORIES",['G'],114.11922893213074,22.373025744395804,1003,13,2,5,2,1,5,0,0,0,49.8834081788649,40040,2.7879595098561536,0.51490540798777,0.9384674183068985,0.44897764188801836,0.6819392647842302,0.237
RL,Delifrance,"SHOP NO. 36-37, LEVEL 1, DISCOVERY PARK SHOPPING CENTRE, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11182117374231,22.37610592617472,978,6,0,0,0,0,0,0,0,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,上海冰室,"G/F, 86 SHAM TSENG TSUEN, AND THE OUTSIDE SEATING AREA AT SHOP FRONT, SHAM TSENG, TSUEN WAN, NEW TERRITORIES","['A', 'G', 'H']",114.05843507221827,22.36671689542324,1061,5,2,0,0,0,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,火狐爐端燒,"G/F., NGA CHI BUILDING, 12 SZE PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11757023731133,22.36968031729092,1005,12,1,0,1,2,2,0,0,3,53.18856655290102,19040,3.7684887459807075,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3
RL,傅記粥麵茶餐廳,"G/F, NO. 56 SHAM TSENG TSUEN, SHAM TSENG, AND THE OUTSIDE SEATING ACCOMMODATION AT FRONT, TSUEN WAN, NEW TERRITORIES",['A'],114.05898425451431,22.36726599390026,1061,11,2,0,0,5,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,Ciao Ristorante Italiano,"G/F, NO. 85 SHAM TSENG TSUEN AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, TSUEN WAN, NEW TERRITORIES",['A'],114.0584390955318,22.366606966763086,1061,4,2,0,0,0,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,Mei Chun Kok,"SHOP D1, G/F, TSUEN KAM CENTRE, 346-350 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11426680127188,22.37438499291434,978,7,0,0,3,5,6,0,1,0,49.85151296028479,50140,2.798567870485679,0.5134052731115808,0.9332517521415062,0.4235176326621426,0.7562266500622665,0.291
RL,鴻輝記,"G/F, 8 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11687981994676,22.372236881578445,993,6,4,0,0,3,0,0,1,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,MCDONALD'S,"SHOP NO. 324, PODIUM LEVEL, SHEK WAI KOK SHOPPING CENTRE, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",[],114.12529420600004,22.37938190500006,973,0,0,0,0,6,0,0,0,0,51.92857142857143,40580,3.6088379705400984,0.4766439909297052,0.9886621315192744,0.4603174603174603,0.49918166939443537,0.178
RL,灶頭家,"G/F AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, NO. 93 SHAM TSENG TSUEN, CASTLE PEAK ROAD, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",['A'],114.05879138692228,22.36704965697929,1061,8,2,0,0,0,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
