TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,92,2292806533,Genki Sushi,"SHOP 1027, LEVEL 1, D.PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",#G#H,2022-12-13,22.3758308321125,114.1126549216512,[978]
RL,92,2292806542,VIET'S CHOICE,"SHOP 410, LEVEL 4, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",,2023-01-07,22.37086882925168,114.11080629290586,[998]
RL,92,2292806551,HAPPY RESTAURANT,"SHOP 42-50, UPPER G/F, BLOCK 15-17, TSUEN WAN CENTRE PHASE II, TSUEN WAN, NEW TERRITORIES",,2023-01-14,22.371293037371387,114.11836023168564,[994]
RL,92,2292806579,HeSheEat,"SHOP UNITS G15-16, G/F, LUK YEUNG GALLERIA, NO. 22-66 WAI TSUEN ROAD, TSUEN WAN, NEW TERRITORIES",,2023-01-20,22.373025744395804,114.11922893213074,[1003]
RL,92,2292806588,宏泰燒味有限公司,"SHOP 2, G/F, CHUEN LUNG BUILDING , 35 AND 39 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",,2023-01-22,22.37111450283375,114.1165861180595,[995]
RL,92,2292806597,MAGIC TOUCH,"SHOP 1-03, 1/F, TAI HUNG FAI (TSUEN WAN) CENTRE, NO. 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",#G#H,2023-01-30,22.37000000000006,114.11692000000004,[995]
RL,92,2292806603,SAIZERIYA ITALIAN RESTAURANT,"SHOP L110, 1/F,  AEON TSUEN WAN STORE, SKYLINE PLAZA, 88 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2023-02-03,22.369560000000035,114.11245000000008,[1014]
RL,92,2292806621,Gossip,"G/F, 150-152 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",,2023-03-10,22.371966397562986,114.11203784593944,[997]
RL,92,2292806630,Delish,"SHOP 1023 AND SEATING AREA ADJACENT TO SHOP 1023, 1/F, DISCOVERY PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",#G#H,2023-03-13,22.37551313012784,114.11137398653923,[978]
RL,92,2292806649,蝦麵店,"SHOP NOS. 108 & 110, 1/F, CITYWALK, NO. 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2023-03-28,22.369975905106383,114.11340761655634,[999]
RL,92,2292806658,GYUKAKU JINAN-BOU,"SHOP NOS. 112B AND 113, LEVEL 1, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",#G,2022-04-28,22.37086882925168,114.11080629290586,[998]
RL,92,2292806667,YOOGANE,"SHOP NOS. 350-352, LEVEL 3, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",,2022-04-29,22.37086882925168,114.11080629290586,[998]
RL,92,2292806676,XIAO YU TIAN．FAN XIAO GUAN,"SHOP 30-60A, 2/F, WALDORF CENTRE, 170-184 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.3721366128687,114.1196076740074,[1002]
RL,92,2292806685,香港仔南記粉麵,"SHOP NOS. 1040-1041, 1/F, KOLOUR - TSUEN WAN I, 68 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",,2022-05-16,22.37057868967325,114.11759387427828,[1005]
RL,92,2292806694,CURRY HOUSE COCO ICHIBANYA,"SHOP NOS. G11 & G12, G/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-21,22.369975905106383,114.11340761655634,[999]
RL,92,2292806700,Donut Cafe,"SHOP A OF SHOP 1033-34A-B, 1069, LEVEL 1, D・PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-21,22.3758308321125,114.1126549216512,[978]
RL,92,2292806719,漁不老,"SHOP B, G/F, ON ON BUILDING, 14-18 SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-05-27,22.36889656743449,114.11667647497576,[1006]
RL,92,2292806728,三不館車仔麵,"SHOP NO. 7, GROUND FLOOR, DUNG FAT MANSION, NO. 10-20 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-02,22.372644200163265,114.1163041508367,[990]
RL,92,2292806755,百芳,"SHOP G03, G/F, AEON SKYLINE STORE, SKYLINE PLAZA, 88 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-26,22.369560000000035,114.11245000000008,[1014]
RL,92,2292806764,美心MX,"SHOP 1-3, 2/F , TSUEN KAM CENTRE, 346-350 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-27,22.37438499291434,114.11426680127188,[978]
RL,92,2292806773,潮興海鮮小菜,"SHOP  8, 10 & 12, G/F, CHEN HSIN MANSION, SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-07-04,22.369033946827543,114.11677060374842,[1006]
RL,92,2292806782,樓下冰室,"SHOP NO. G45-G52, G52A, G53 & G54, G/F, SMARTLAND, 36-60 TEXACO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-07-08,22.36848028021328,114.12161056609898,[996]
