TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,心泰苑泰國小廚,"SHOP 129A2-A4, PODIUM A, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",[],114.1134657548984,22.36310471386344,1008.0,10,2,0,1,2,0,0,0,0,49.34173783996608,42630.0,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192,1
RR,SHUNDE CUISINE,"SHOP 2, G/F, KWONG YICK BUILDING, 315-323 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11848545731908,22.368969531901627,1013.0,4,0,0,9,0,0,0,2,0,35.807063851181496,17250.0,2.4616336633663365,0.4072398190045249,0.918552036199095,0.4836601307189542,0.2264851485148515,0.365,1
RR,RELAX 98,"2/F, TIN WAH BUILDING, 38-44 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11633340367877,22.37122614978404,995.0,5,2,0,0,6,1,0,1,5,37.48310741425344,18110.0,2.7292600896860986,0.4241117272540562,0.911275415896488,0.4719654959950708,0.3811659192825112,0.335,1
RR,Thai house,"G/F, 219 MA WAN MAIN STREET, VILLAGE CENTRAL, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05825310110032,22.3520628141016,1742.0,1,0,0,0,4,0,0,0,0,37.75284512617516,40280.0,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339,1
RR,創意廚房,"SHOP B, G/F, FULLYTECH CENTRE, 18 TAK HOI STREET, TSUEN WAN, NEW TERRITORIES",[],114.11739949794368,22.369987807408904,1005.0,15,1,0,0,3,2,0,0,3,53.18856655290102,19040.0,3.768488745980708,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3,1
RR,90°C,"SHOP NO. 6, G/F, FU YUNG BUILDING, 102-104 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1108893575663,22.37258892151182,997.0,4,0,0,0,0,0,0,1,0,36.811619718309856,21300.0,2.837162837162837,0.4524647887323944,0.9846830985915492,0.4774647887323943,0.4125874125874126,0.282,0
RR,新井食堂,"G/F, BLOCK 94, SHAM TSENG VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.05882985985784,22.367093578151938,1061.0,8,2,0,0,0,1,0,0,0,37.308040770101925,29390.0,3.109154929577465,0.4903737259343148,0.956964892412231,0.4881087202718007,0.4718309859154929,0.227,0
RR,THE HIDDEN GARDEN 1981 CAFE,"SHOP 1, G/F, TSUEN WAN TOWN HALL, 72 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11272876621814,22.37085235881193,998.0,0,0,0,0,1,1,0,0,0,49.816964285714285,39130.0,2.966887417218543,0.5416666666666666,0.9553571428571428,0.5379464285714286,0.8013245033112583,0.214,0
RR,家嚐飯荃灣店,"SHOP 49 & 58, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,10,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,川味美食,"SHOP 40, G/F (PODIUM B), WEALTHY GARDEN, 12-18 TSUEN FU STREET, TSUEN WAN, NEW TERRITORIES",[],114.12178541259924,22.369197813034617,996.0,9,0,0,0,3,1,0,2,0,50.25028304557034,28140.0,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444,1
