TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,61,2261819102,金鑽會,"3/F, VINCENT HOUSE, 30-30A JORDAN ROAD, YAU MA TEI, KOWLOON",,2024-01-20,22.305264511287803,114.16908499513244,392.0
RL,61,2261819111,Gyukaku Japanese Yakiniku Restaurant,"MAJOR PORTION OF SHOPS G08 & 09, G/F, MIRA PLACE ONE, 132 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-01-21,22.30086044981185,114.17218562875512,403.0
RL,61,2261819120,PALCO,"SHOP 403 AND OUTSIDE SEATING ACCOMMODATION, L4 OTE, OCEAN TERMINAL, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",#A#F#G,2024-02-01,22.29839424500005,114.16833399000006,398.0
RL,61,2261819157,金雞海南雞,"G/F, 85 PARKES STREET, KOWLOON",,2024-02-16,22.30578259672308,114.17057496224088,489.0
RL,61,2261819166,Glasshouse Greenery,"SHOP NO. 501, LEVEL 5, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",,2024-02-18,22.293429892646813,114.17402185228376,414.0
RL,61,2261819175,十一串,"SHOP NO. 4, G/F, HAVEN MANSION, 108 WOOSUNG STREET, JORDAN, KOWLOON",,2024-02-22,22.30576000000008,114.17034,489.0
RL,61,2261819184,Kilo Steakhouse,"SHOP NO. 602 ON LEVEL 6 OF K11 MUSEA,VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",#F#G#H,2024-02-24,22.293429892646813,114.17402185228376,414.0
RL,61,2261819193,Cou Cou Hotpot﹒Tea Break,"SHOP NOS. 608 & 609, 6/F, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",,2024-02-29,22.293429892646813,114.17402185228376,414.0
RL,61,2261819218,The Pearl,"4/F AND THE OUTSIDE SEATING ACCOMMODATION AT 4/F, 20-22 GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",#A#F#G,2024-03-17,22.29974737497966,114.1737232050736,407.0
RL,61,2261819227,King of Beef,"3/F, REGAL DRAGON CENTRE, 149-151 WOOSUNG STREET, YAU TSIM, KOWLOON",,2024-03-18,22.304710000000057,114.17001000000003,392.0
RL,61,2261819236,LOCKEROOM DINING,"8/F, GRAND PLACE, 558-560 NATHAN ROAD, YAU MA TEI, KOWLOON",#F,2024-03-28,22.314455142391125,114.17061351899554,417.0
RL,61,2261819245,Gorkha Palace Restaurant & Bar,"SHOPS 101 & 101B, G/F, CHUNG KING MANSIONS, 36-44 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-03-28,22.29636000000005,114.17239000000006,412.0
RL,61,2261819263,HAKATA YOKAROUMON,"SHOP C & D, G/F, KAM KOK MANSION, 82A-84A KIMBERLEY ROAD, TSIM SHA TSUI, KOWLOON",#G#H,2024-04-11,22.302193968697537,114.17568909664436,404.0
RL,61,2261819272,SIAM,"ROOM A & B, 1/F, CHINA INSURANCE BUILDING, NO.48 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2024-04-13,22.299193540727344,114.17502013695196,407.0
RL,61,2261819281,Men Wah Bing Teng / ASAM CHICKEN RICE,"RESTAURANT 2, B1/F, T GALLERIA, NO. 28 CANTON ROAD, TSIM SHA TSUI, KOWLOON",,2024-04-22,22.29691081321654,114.16950970616637,399.0
RL,61,2261819290,TURNING POINT BY COFFEE ART,"SHOP 113A & 113B, 1/F., MIRA PLACE 1, 132 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-04-22,22.30086044981185,114.17218562875512,403.0
RL,61,2261819306,ESPRESSO ALCHEMY,"SHOP G104 AND SEATING AREA 2 OPPOSITE G104, G/F, GATEWAY ARCADE, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,2024-04-22,22.29934000000003,114.16835000000005,398.0
RL,61,2261819315,譚仔雲南米線,"KOW 12A, AEL ARRIVAL CONCOURSE, KOWLOON STATION, KOWLOON",,2024-04-26,22.316670000000045,114.18333000000008,549.0
RL,61,2261819324,Joyous Gate Banquet,"2/F, NO. 238 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-04-26,22.304794496067245,114.1719182460438,401.0
RL,61,2261819333,Sukiya,"SHOP A, G/F., GRAND PLACE, NO. 560 NATHAN ROAD, YAU MA TEI, KOWLOON",,2024-04-27,22.314455142391125,114.17061351899554,417.0
RL,61,2261819342,Akaoni,"SHOP 6, 7, 8, LG/F, NO. 42, 44, 46 CARNARVON ROAD, TSIM SHA TSUI, KOWLOON",#G#H,2024-05-03,22.29933565589569,114.17371147040916,407.0
RL,61,2261819351,MAN MAN C FOODIE,"SHOP B, G/F, 81 CHATHAM ROAD SOUTH, TSIM SHA TSUI, KOWLOON",,2024-05-04,22.300891392053,114.17619860199942,404.0
RL,61,2261819360,LOO-BAH TAIPEI,"G/F, MAN FAI BUILDING, 31 MAN YUEN STREET, KOWLOON",,2024-05-04,22.30742938923996,114.16610095378296,480.0
RL,61,2261819379,Omakase Iki,"4/F, YI SERVICED APARTMENTS, 10-12 CHATHAM COURT, TSIM SHA TSUI, KOWLOON",#G#H,2024-05-16,22.301557907975067,114.17604029838742,404.0
RL,61,2261819388,SHIAWASE,"SHOP OTE 402, LEVEL 4, OCEAN TERMINAL, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",#G#H,2024-05-24,22.294985070961985,114.166718700047,398.0
RL,61,2261819397,BAGAICHA RESTAURANT & BAR,"SHOP H, G/F, LEE SHING MANSION, NOS. 43, 43A & 43B JORDAN ROAD, NOS. 11-19 WAI CHING STREET, JORDAN, KOWLOON",,2024-05-24,22.30617927029085,114.16771405104907,485.0
RL,61,2261819412,㷫烚烚,"UNIT 802, 8/F, GALA PLACE, 56 DUNDAS STREET, MONG KOK, KOWLOON",#G#H,2024-05-26,22.315167268884903,114.17112347398472,417.0
RL,61,2261819421,初心 x Tapa Room,"SHOP 4, WHOLE OF 2/F, THE NATE, NO. 176 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",#G#H,2024-05-27,22.30257894951039,114.17210356992302,403.0
RL,61,2261819449,譚仔雲南米線,"SHOP 4001, LEVEL 4, GATEWAY ARCADE, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,2024-06-06,22.29934000000003,114.16835000000005,398.0
RL,61,2261819458,Lam Jai's Cafe,"G/F, LUNG MA BUILDING, 552 NATHAN ROAD, KOWLOON",,2024-06-08,22.314238134917915,114.17067495834578,417.0
RL,61,2261819467,Bali Town,"3F., THE NATE, NO. 176 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-06-14,22.30257894951039,114.17210356992302,403.0
RL,61,2261819476,STELLA,"SHOP NO. L308, LEVEL 3, THE ONE, NO. 100 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",#F#G#H,2024-06-14,22.29972000000004,114.17217000000004,405.0
RL,61,2261819494,NARA THAI CUISINE / LADY NARA,"SHOP 3303, LEVEL 3, GATEWAY ARCADE, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",#G,2024-06-20,22.29934000000003,114.16835000000005,398.0
RL,61,2261819500,華康茶餐廳,"G/F, 150 RECLAMATION STREET, YAU MA TEI, KOWLOON",,2024-06-27,22.31037177253065,114.16958028179108,470.0
RL,61,2261819519,TAGLINE,"4/F., 10 PRAT, 10 PRAT AVENUE, TSIM SHA TSUI, KOWLOON",,2024-06-27,22.29869754160694,114.17444689859376,407.0
RL,61,2261819537,PASTICCERIA GIOVANNI PINA 1920,"SHOP NO. 217, LEVEL 2, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",,2024-06-29,22.293429892646813,114.17402185228376,414.0
RL,61,2261819546,Glasshouse Greenery / Maison Gaia / G Room,"SHOP NO. 503 AND THE OUTSIDE SEATING ACCOMMODATION AT FLAT ROOF AT SIDE OF SHOP NO. 503, LEVEL 5, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",#A,2024-07-01,22.293429892646813,114.17402185228376,414.0
RL,61,2261819555,KFC,"SHOP G37 & G37A, G/F, MIRA PLACE 1, 132 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-07-05,22.30086044981185,114.17218562875512,403.0
RL,61,2261819564,吹牛會館,"SHOP G02-G03, G05-G08, G16-G17, G/F, CORONATION CIRCLE, 1 YAU CHEUNG ROAD, YAU MA TEI, KOWLOON",,2024-07-26,22.309806455071,114.16549821112562,631.0
RL,61,2261819573,HACHIKO,"7TH FLOOR OF LADDER DUNDAS, NO. 575 NATHAN ROAD, KOWLOON",,2024-07-28,22.31512397635501,114.17001513492784,509.0
RL,61,2261819582,Ramen House Konjiki Hototogisu,"SHOP 4, GROUND FLOOR, H ZENTRE, 15 MIDDLE ROAD, TSIM SHA TSUI, KOWLOON",,2024-08-02,22.29559780997583,114.17327385020008,412.0
RL,61,2261819591,Yakiniku Jikon By Tominokoji Yamagishi,"SHOP 603, 6/F, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",,2024-08-04,22.293429892646813,114.17402185228376,414.0
RL,61,2261819607,Chun Shui Tang,"SHOP NOS. 110C AND 112, 1/F, MIRA PLACE 1, 132 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-08-10,22.30086044981185,114.17218562875512,403.0
RL,61,2261819616,RUE DU LIBAN,"SHOP 2A AND 3-7, G/F, HILLWOOD COURT, NO. 22-28 HILLWOOD ROAD, TSIM SHA TSUI, KOWLOON",,2024-08-12,22.302586074128087,114.17330452901,403.0
RL,61,2261819625,嵐橋,"SHOP E ON G/F, UG/F & 1/F, RICH TOWERS, NO. 2 BLENHEIM AVENUE, TSIM SHA TSUI, KOWLOON",#F#G#H,2024-08-12,22.29698637607368,114.17443868432866,413.0
RL,61,2261819634,CCGRILL AUTOMATIC GRILLING RESTAURANT,"7/F., GRAND PLACE, 558-560 NATHAN ROAD, YAU MA TEI, KOWLOON",,2024-08-17,22.314455142391125,114.17061351899554,417.0
RL,61,2261819643,君戶鍋貼大王,"SHOP NOS. 48, 49 & 50, G/F., HARBOUR CRYSTAL CENTRE, 100 GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",,2024-08-18,22.30089000000004,114.17815000000007,414.0
RL,61,2261819652,Sushi Rin,"RESTAURANT NO.1 OF UG /F, H ZENTRE, 15 MIDDLE ROAD, TSIM SHA TSUI, KOWLOON",#G#H,2024-08-18,22.29559780997583,114.17327385020008,412.0
RL,61,2261819670,ACE RESTAURANT,"G/F, 46 & PORTION OF 48 PORTLAND STREET, YAU MA TEI, KOWLOON",,2024-08-31,22.313264409226026,114.1701049051108,513.0
RL,61,2261819689,李家,"SHOP 2, G/F, LEADER COMMERCIAL BUILDING, 54-56 HILLWOOD ROAD, TSIM SHA TSUI, KOWLOON",,2024-09-05,22.30271808910309,114.17465200376448,403.0
RL,61,2261819713,SUSHI RAKU,"G/F, GRANVILLE BUILDING, 12 GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",#F#G#H,2024-09-08,22.299564020847697,114.17308919791742,406.0
RL,61,2261819731,PHO 5,"G/F, 55 PARKES STREET, JORDAN, KOWLOON",,2024-10-04,22.304752544641843,114.1704795761828,393.0
RL,61,2261819740,Fu Wah Cafe,"MAJOR PORTION OF SHOP B ON G/F AND WHOLE FLOOR ON 1/F, BIK LAN HOUSE, NOS. 41, 45 AND 47 PITT STREET AND NO. 72 PORTLAND STREET, YAU MA TEI, KOWLOON",,2024-10-05,22.31396107110845,114.1699673580797,509.0
RL,61,2261819759,OKINAWA GYOMIN SHOKUDO,"SHOP E, G/F, JOLLY GARDEN, NO. 151 RECLAMATION STREET, YAU MA TEI, KOWLOON",,2024-10-06,22.31028237953329,114.16926135037528,470.0
