TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,18,2213189770,AGEHAN JAPANESE RESTAURANT,香港中環 康樂廣場8號 交易廣場208-210號舖,#G#H,2024-07-02
RL,18,2213190057,金御,香港中環皇后大道中88號 勵精中心3樓全層,,2024-07-09
RL,18,2213190969,華記食店,香港中環士他花利街10號地下,,2024-08-07
RL,18,2213192327,Honky tonks tavern,香港中環荷李活道75-75號A地下低層,,2024-09-03
RL,18,2213193241,上海小南國,香港德輔道中60-68號 萬宜商場3樓301號舖,,2024-10-11
RL,18,2213193454,GAIA RISTORANTE,香港皇后大道中181號 地下01-05室及舖前空地的露天座位,#A,2024-10-23
RL,18,2213197216,WINGMAN,香港中環 閣麟街37-43號6樓,,2024-02-05
RL,18,2213198121,simplylife FOODPLACE,香港中環花園道3號 花旗銀行廣場地下下層6號舖,#G#H,2024-03-06
RL,18,2213198732,THE PEAK LOOKOUT,香港中環 山頂道121號地下旁邊及後面的露天座位地方,#A#F#G#H,2024-03-21
RL,18,2213202293,十二味,香港中環 德己立街21號地下及地庫,,2024-07-21
RL,18,2213210252,GURU,香港中環伊利近街17號地下,,2024-03-02
RL,18,2213210702,美心MX,香港中環 愛丁堡廣場大會堂高座入口,,2024-03-16
RL,18,2213211796,DRAGON-I,"香港中環 雲咸街60號 中央廣場地下高層1,2及3號舖",#F#G#H,2024-05-05
RL,18,2213213172,Maison Libanaise,香港中環 些利街10號 地下低層及地下高層,,2024-06-17
RL,18,2213216454,JASHAN CELEBRATING INDIAN CUISINE,香港中環 荷李活道23號 金珀苑1樓,,2024-10-13
RL,18,2213216791,勇記海南雞,香港蘇杭街102號地下,,2024-10-23
RL,18,2213221627,半山冰室,香港堅道58-62號 美蘭閣地下4號舖,#G#H,2024-02-18
RL,18,2213227193,北京樓,香港中環 遮打道16-20號 歷山大廈 地庫一層B1號舖及 地庫二層B1號舖,,2024-08-29
RL,18,2213227634,蛇王芬飯店,香港中環 閣麟街30號地下及閣樓,,2024-09-14
RL,18,2213228691,Bep,香港中環 威靈頓街88-90號 通濟大廈地下,,2024-10-13
RL,18,2213229108,Sole Mio,香港中環 伊利近街51號 伊利閣地下高層,,2024-10-19
RL,18,2213232506,太平館餐廳,香港中環士丹利街60號 明珠行地下1號舖及1樓,,2024-01-30
RL,18,2213233998,舍,香港中環 金融街8號 國際金融中心 第3層3025-3026及 3031-3066號舖A部份及露天座位間,,2024-04-03
RL,18,2213235116,天樂餐廳,香港德輔道西352號地下,,2024-05-05
