TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,63,2263800667,Fairwood Fast Food,"SHOP 1, HOI LAI SHOPPING CENTRE, HOI LAI ESTATE, SHAM SHUI PO, KOWLOON",,2023-08-13
RL,63,2263800685,Ngan Lung Restaurant,"SHOP N51, G/F, NOS. 1-17 MOUNT STERLING MALL & NOS. 10-16 LAI WAN ROAD, MEI FOO SUN CHUEN, KOWLOON",,2022-09-19
RL,63,2263800728,Sun Shine Restaurant,"SHOP NO. 108, FIRST FLOOR, FORTUNE SHOPPING CENTRE, CHEUNG SHA WAN, KOWLOON",,2022-11-14
RL,63,2263800746,喜兆年酒家,"SHOP 105, 1/F, HOI LAI SHOPPING CENTRE, HOI LAI ESTATE, LAI CHI KOK, KOWLOON",,2022-12-19
RL,63,2263800861,DAZZLING MOON RESTAURANT,"SHOP 212C, 2/F, DRAGON CENTRE, 37K YEN CHOW STREET, SHAM SHUI PO, KOWLOON",,2023-03-20
RL,63,2263800870,朝陽軒,"G/F, HARMONY HOUSE, 240 YU CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-03-21
RL,63,2263800898,祥景茶餐廳,"SHOP 5+6, G/F, HOI LAI SHOPPING CENTRE, HOI LAI ESTATE , SHAM SHUI PO, KOWLOON",,2023-04-24
RL,63,2263800922,Bau Heung Lau,"SHOP 210, 211, 212 & 213AND PORTION OF ROOMS 325, 329 & 331, NAM FUNG HOUSE, NAM SHAN ESTATE, KOWLOON",,2023-06-04
RL,63,2263800959,真鮮酒家,"1/F, NO. 168-170 CASTLE PEAK ROAD, KOWLOON",,2023-07-08
RL,63,2263800995,紅蔥頭,"SHOP 601C, 6/F, DRAGON CENTRE, 37K YEN CHOW STREET, SHAM SHUI PO, KOWLOON",,2023-07-26
RL,63,2263801022,金豪肥牛豬骨煲避風塘小炒,"SHOP  A, G/F, WAH SHING BUILDING, 17-23 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",,2023-08-23
RL,63,2263801031,阿來泰式地道風味,"SHOP A1-A2, G/F, SMILING PLAZA, 162-188 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2022-08-24
